pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
659723,NPHILADE13 KV   BUS2,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659724,NPHILADE13 KV   BUS3,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659725,NPHILADE13 KV   BUS4,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659726,NPHILADE13 KV   34BU,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659727,NWALES  35 KV   1BUS,BUS,LOAD,PECO,35 KV,12/14/2000 0:00,12/31/9999 0:00
659728,NWALES  35 KV   2BUS,BUS,LOAD,PECO,35 KV,12/14/2000 0:00,12/31/9999 0:00
659729,NWALES  35 KV   3BUS,BUS,LOAD,PECO,35 KV,12/14/2000 0:00,12/31/9999 0:00
659730,NWALES  35 KV   4BUS,BUS,LOAD,PECO,35 KV,12/14/2000 0:00,12/31/9999 0:00
659731,PASSYUNK13 KV   1BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659732,PASSYUNK13 KV   2BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659733,PASSYUNK13 KV   4BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659734,PASSYUNK13 KV   5BUS,BUS,LOAD,PECO,13 KV,12/14/2000 0:00,12/31/9999 0:00
659735,UPPERDAR69 KV   11TR,BUS,LOAD,PECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659736,UPPERDAR69 KV   13TR,BUS,LOAD,PECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659744,CORSON  69 KV   T3,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659745,CORSON  69 KV   T4,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659747,DACOSTA 69 KV   LOAD2,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659749,ENGLAND 23 KV   BUS2,BUS,LOAD,AECO,23 KV,12/14/2000 0:00,12/31/9999 0:00
659750,LAUREL  69 KV   BUS4,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659754,PAULSBRO69 KV   LOAD5,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659756,SEARSTOW69 KV   LOAD2,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659757,SECONDST69 KV   LOAD2,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659758,SECONDST69 KV   WHEAT1,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659759,SECONDST69 KV   WHEAT2,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659760,SMILLVIL69 KV   LOAD2,BUS,LOAD,AECO,69 KV,12/14/2000 0:00,12/31/9999 0:00
659761,COSTEN  138 KV  COSTEN,BUS,LOAD,DPL,138 KV,12/14/2000 0:00,12/31/9999 0:00
659762,KINGSCRK138 KV  LOADT1,BUS,LOAD,DPL,138 KV,12/14/2000 0:00,12/31/9999 0:00
659763,KINGSCRK138 KV  LOADT2,BUS,LOAD,DPL,138 KV,12/14/2000 0:00,12/31/9999 0:00
659764,POCOMOKE138 KV  LOAD1,BUS,LOAD,DPL,138 KV,12/14/2000 0:00,12/31/9999 0:00
659765,POCOMOKE138 KV  LOAD2,BUS,LOAD,DPL,138 KV,12/14/2000 0:00,12/31/9999 0:00
659771,HUNLOCK 13 KV   HUNL_4,BUS,GEN,PPL,13 KV,12/14/2000 0:00,12/31/9999 0:00
659772,IRONWOOD16 KV   ST,BUS,GEN,METED,16 KV,12/14/2000 0:00,12/31/9999 0:00
659773,IRONWOOD16 KV   CT-1,BUS,GEN,METED,16 KV,12/14/2000 0:00,12/31/9999 0:00
659774,IRONWOOD16 KV   CT-2,BUS,GEN,METED,16 KV,12/14/2000 0:00,12/31/9999 0:00
659776,EMUNI   12 KV   G1,BUS,GEN,DPL,12 KV,12/14/2000 0:00,12/31/9999 0:00
659783,GIRARD,AGGREGATE,AGGREGATE,,,12/14/2000 0:00,12/31/9999 0:00
659784,GOLDSBORO,AGGREGATE,AGGREGATE,,,12/14/2000 0:00,12/31/9999 0:00
734133,GRAYSFERRY CC,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
734134,MUDDY RUN,AGGREGATE,AGGREGATE,,,1/15/2001 0:00,12/31/9999 0:00
1047909,TOSCOGIS27 KV   REF LOAD,BUS,LOAD,PSEG,27 KV,5/18/2001 0:00,12/31/9999 0:00
1047910,AMTRAK  69 KV   LOAD1,BUS,LOAD,PECO,69 KV,5/18/2001 0:00,12/31/9999 0:00
1047911,AMTRAK  69 KV   LOAD2,BUS,LOAD,PECO,69 KV,5/18/2001 0:00,12/31/9999 0:00
1047912,BETZWOOD230 KV  LOAD1,BUS,LOAD,PECO,230 KV,5/18/2001 0:00,12/31/9999 0:00
1047913,LLANERCH13 KV   13BUS,BUS,LOAD,PECO,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047914,LLANERCH13 KV   12BUS,BUS,LOAD,PECO,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047915,LLANERCH13 KV   11BUS,BUS,LOAD,PECO,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047916,UPPERPRO230 KV  LOAD1,BUS,LOAD,PECO,230 KV,5/18/2001 0:00,12/31/9999 0:00
1047919,EXETER  69 KV   EXET1,BUS,LOAD,PPL,69 KV,5/18/2001 0:00,12/31/9999 0:00
1047920,EXETER  69 KV   EXET2,BUS,LOAD,PPL,69 KV,5/18/2001 0:00,12/31/9999 0:00
1047921,HUNLOCK 13 KV   13KVLOAD,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047925,POPETALB69 KV   POTA LD,BUS,LOAD,PPL,69 KV,5/18/2001 0:00,12/31/9999 0:00
1047926,COURTDAL13 KV   LOAD,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047927,DALLAS  13 KV   LOAD,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047928,GLENVIEW13 KV   LOAD1,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047929,HANOVER 13 KV   LOAD1,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047930,HANOVER 13 KV   LOAD2,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047932,KING UGI13 KV   LOAD1,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047933,KING UGI13 KV   LOAD2,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047934,KOONSVIL13 KV   LOAD1,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
1047935,KOONSVIL13 KV   LOAD2,BUS,LOAD,PPL,13 KV,5/18/2001 0:00,12/31/9999 0:00
